prompt_id,subject,difficulty_level,topic,prompt_text 
P01_COD_L1,Coding,Level 1,String Manipulation,"Write a Python function `reverse_words(s: str) -> str` that reverses the order of words in a string while preserving leading, trailing, and multiple consecutive spaces exactly as they are. Return only the code."
P02_COD_L2,Coding,Level 2,Data Structures & Hashing,"Write a Python function `first_unique_char(s: str) -> int` that returns the index of the first non-repeating character in a string. If every character repeats, return -1. Time complexity must be O(N) and auxiliary space O(1) assuming the lowercase English alphabet."
P03_COD_L3,Coding,Level 3,Boundary Algorithms,"Write a Python function `search_rotated_array(nums: list[int], target: int) -> int` that searches for a target value in an integer array sorted in ascending order that has been rotated at an unknown pivot. If the target exists, return its index; otherwise return -1. Time complexity must be O(log N). Account for empty arrays and single-element inputs."
P04_COD_L4,Coding,Level 4,Dynamic Programming / Optimization,"Write a Python function `min_cost_tickets(days: list[int], costs: list[int]) -> int` that solves the train travel cost minimization problem where travel days are given in `days` (strictly increasing) and pass costs are given for 1-day, 7-day, and 30-day passes in `costs`. Use dynamic programming with O(N) time complexity where N is the maximum travel day."
P05_COD_L5,Coding,Level 5,Concurrency & Thread Safety,"Write a thread-safe bounded blocking queue class in Python named `BoundedBlockingQueue` without using the built-in `queue.Queue` module. Use standard primitives (`threading.Lock`, `threading.Condition`). Implement `enqueue(element: int)` which blocks when full, `dequeue() -> int` which blocks when empty, and `size() -> int`."
P06_MTH_L1,Math,Level 1,Algebra I,"Solve the following system of linear equations for x and y using substitution or elimination. Show all algebraic steps: 3x - 4y = 18 and 5x + 2y = 4."
P07_MTH_L2,Math,Level 2,Algebra II,"Simplify the following trigonometric expression into a single trigonometric function or constant, showing each identity applied: (sin(x) / (1 + cos(x))) + ((1 + cos(x)) / sin(x))."
P08_MTH_L3,Math,Level 3,Calculus I,"Find the exact coordinates (x, y) of all local extrema and inflection points for the function f(x) = (x^2 - 4) * e^(-x). Show your first and second derivatives and justify using the first or second derivative test."
P09_MTH_L4,Math,Level 4,Calculus II,"Evaluate the indefinite integral using integration by parts: ∫ x^2 * ln(x) dx. Show the selection of u, dv, du, v, and all algebraic simplification steps."
P10_MTH_L5,Math,Level 5,Calculus III,"Use the method of Lagrange multipliers to find the maximum and minimum values of f(x, y, z) = 2x + 4y + z subject to the constraint x^2 + 2y^2 + z^2 = 28. Show the gradient setup, system of equations, and check all critical points."
P11_SCI_L1,Science,Level 1,High School Biology,"In pea plants, round seeds (R) are dominant over wrinkled seeds (r), and yellow seeds (Y) are dominant over green seeds (y). Two plants heterozygous for both traits (RrYy) are crossed. Assuming independent assortment, state the expected phenotypic ratio of the offspring and calculate the exact probability of obtaining an offspring that has round green seeds."
P12_SCI_L2,Science,Level 2,High School Chemistry,"Consider the complete combustion of propane: C3H8(g) + 5O2(g) -> 3CO2(g) + 4H2O(g). If 44.1 g of propane reacts with 128.0 g of oxygen gas at 1.00 atm and 298 K, identify the limiting reactant, calculate the theoretical yield of CO2 in grams, and determine the volume of CO2 produced in liters using R = 0.08206 L*atm/(mol*K)."
P13_SCI_L3,Science,Level 3,AP Chemistry,"At 500 K, the reaction N2(g) + 3H2(g) <=> 2NH3(g) has an equilibrium constant Kc = 0.060. If a 2.0 L rigid vessel initially contains 0.40 mol of N2, 0.60 mol of H2, and 0.00 mol of NH3, set up the ICE table, write the equilibrium expression, and state the equation needed to solve for the equilibrium concentrations."
P14_SCI_L4,Science,Level 4,AP Physics C Mechanics,"A uniform thin rod of mass M = 3.0 kg and length L = 2.0 m is free to pivot in a vertical plane about a frictionless hinge at one end (I = (1/3)ML^2). The rod is released from rest in a horizontal position. Using energy conservation, calculate the angular velocity omega of the rod when it reaches the vertical position, and calculate the linear velocity of the rod's lowest tip at that instant (use g = 9.8 m/s^2)."
P15_SCI_L5,Science,Level 5,AP Physics C Integration,"A non-uniform thin rod of length L lies along the x-axis with one end at the origin (x = 0) and the other end at x = L. Its linear mass density is given by the function rho(x) = k * x^2, where k is a positive constant. (a) Find the total mass M of the rod in terms of k and L. (b) Using definite integration (I = ∫ x^2 dm), derive the rotational inertia I of the rod about an axis perpendicular to the rod passing through the origin (x = 0) in terms of M and L."
